sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
M,0.625,125,0.455,45.5,0.17,34,1.082,216.4,9,10.5
F,0.625,125,0.505,50.5,0.175,35,1.15,230,11,12.5
F,0.625,125,0.515,51.5,0.16,32,1.264,252.8,9,10.5
F,0.625,125,0.48,48,0.155,31,1.2035,240.7,12,13.5
F,0.63,126,0.485,48.5,0.17,34,1.3205,264.1,9,10.5
I,0.63,126,0.505,50.5,0.18,36,1.272,254.4,11,12.5
M,0.63,126,0.485,48.5,0.145,29,1.062,212.4,12,13.5
I,0.63,126,0.475,47.5,0.145,29,1.0605,212.1,10,11.5
M,0.63,126,0.495,49.5,0.16,32,1.093,218.6,12,13.5
M,0.635,127,0.49,49,0.16,32,1.101,220.2,10,11.5
F,0.635,127,0.5,50,0.165,33,1.4595,291.9,9,10.5
F,0.635,127,0.495,49.5,0.175,35,1.211,242.2,9,10.5
M,0.635,127,0.475,47.5,0.17,34,1.1935,238.7,10,11.5
M,0.635,127,0.51,51,0.155,31,0.986,197.2,10,11.5
M,0.64,128,0.565,56.5,0.23,46,1.521,304.2,15,16.5
M,0.64,128,0.525,52.5,0.18,36,1.3135,262.7,10,11.5
M,0.645,129,0.51,51,0.16,32,1.1835,236.7,11,12.5
M,0.645,129,0.5,50,0.195,39,1.401,280.2,10,11.5
M,0.645,129,0.525,52.5,0.16,32,1.5075,301.5,11,12.5
F,0.65,130,0.505,50.5,0.165,33,1.16,232,11,12.5
F,0.65,130,0.59,59,0.22,44,1.662,332.4,11,12.5
M,0.65,130,0.525,52.5,0.175,35,1.5365,307.3,11,12.5
M,0.65,130,0.51,51,0.19,38,1.542,308.4,9,10.5
F,0.65,130,0.51,51,0.17,34,1.567,313.4,10,11.5
F,0.655,131,0.525,52.5,0.19,38,1.3595,271.9,10,11.5
M,0.655,131,0.535,53.5,0.205,41,1.6445,328.9,13,14.5
F,0.655,131,0.52,52,0.19,38,1.4545,290.9,10,11.5
M,0.655,131,0.49,49,0.175,35,1.3585,271.7,10,11.5
F,0.66,132,0.495,49.5,0.21,42,1.548,309.6,10,11.5
F,0.66,132,0.515,51.5,0.17,34,1.337,267.4,10,11.5
F,0.665,133,0.53,53,0.18,36,1.491,298.2,10,11.5
F,0.67,134,0.53,53,0.225,45,1.5615,312.3,11,12.5
F,0.67,134,0.505,50.5,0.175,35,1.0145,202.9,10,11.5
M,0.675,135,0.545,54.5,0.185,37,1.7375,347.5,13,14.5
M,0.685,137,0.545,54.5,0.205,41,1.7925,358.5,9,10.5
F,0.695,139,0.565,56.5,0.19,38,1.7635,352.7,11,12.5
F,0.7,140,0.545,54.5,0.13,26,1.556,311.2,12,13.5
M,0.705,141,0.565,56.5,0.515,103,2.21,442,10,11.5
M,0.705,141,0.555,55.5,0.215,43,2.141,428.2,11,12.5
F,0.705,141,0.57,57,0.18,36,1.5345,306.9,12,13.5
F,0.71,142,0.55,55,0.17,34,1.614,322.8,11,12.5
F,0.72,144,0.575,57.5,0.17,34,1.9335,386.7,13,14.5
M,0.72,144,0.575,57.5,0.215,43,2.173,434.6,12,13.5
F,0.725,145,0.6,60,0.2,40,1.737,347.4,11,12.5
F,0.73,146,0.58,58,0.19,38,1.7375,347.5,11,12.5
F,0.735,147,0.565,56.5,0.205,41,2.1275,425.5,12,13.5
F,0.745,149,0.57,57,0.215,43,2.25,450,9,10.5
F,0.75,150,0.61,61,0.235,47,2.5085,501.7,14,15.5
F,0.815,163,0.65,65,0.25,50,2.255,451,14,15.5
I,0.14,28,0.105,10.5,0.035,7,0.014,2.8,3,4.5
I,0.23,46,0.165,16.5,0.06,12,0.0515,10.3,4,5.5
I,0.365,73,0.265,26.5,0.135,27,0.2215,44.3,7,8.5
I,0.365,73,0.255,25.5,0.08,16,0.1985,39.7,5,6.5
I,0.37,74,0.27,27,0.095,19,0.232,46.4,6,7.5
I,0.375,75,0.28,28,0.085,17,0.3155,63.1,7,8.5
I,0.385,77,0.3,30,0.09,18,0.247,49.4,5,6.5
I,0.395,79,0.295,29.5,0.09,18,0.3025,60.5,5,6.5
I,0.4,80,0.29,29,0.11,22,0.329,65.8,6,7.5
I,0.4,80,0.3,30,0.09,18,0.2815,56.3,7,8.5
I,0.405,81,0.31,31,0.095,19,0.3425,68.5,8,9.5
I,0.405,81,0.29,29,0.09,18,0.2825,56.5,7,8.5
I,0.405,81,0.3,30,0.105,21,0.304,60.8,6,7.5
I,0.41,82,0.32,32,0.095,19,0.2905,58.1,5,6.5
M,0.415,83,0.315,31.5,0.115,23,0.3895,77.9,9,10.5
I,0.425,85,0.34,34,0.105,21,0.389,77.8,6,7.5
I,0.43,86,0.34,34,0.105,21,0.4405,88.1,6,7.5
I,0.44,88,0.34,34,0.105,21,0.369,73.8,5,6.5
M,0.44,88,0.32,32,0.12,24,0.4565,91.3,8,9.5
I,0.44,88,0.365,36.5,0.11,22,0.4465,89.3,9,10.5
M,0.45,90,0.335,33.5,0.125,25,0.4475,89.5,6,7.5
I,0.455,91,0.335,33.5,0.135,27,0.501,100.2,7,8.5
I,0.46,92,0.355,35.5,0.11,22,0.436,87.2,8,9.5
I,0.47,94,0.345,34.5,0.14,28,0.4615,92.3,9,10.5
I,0.47,94,0.35,35,0.125,25,0.4315,86.3,6,7.5
I,0.47,94,0.355,35.5,0.12,24,0.3685,73.7,6,7.5
M,0.475,95,0.37,37,0.125,25,0.649,129.8,8,9.5
I,0.475,95,0.365,36.5,0.115,23,0.459,91.8,7,8.5
F,0.475,95,0.365,36.5,0.115,23,0.566,113.2,7,8.5
I,0.48,96,0.36,36,0.125,25,0.542,108.4,7,8.5
I,0.485,97,0.38,38,0.12,24,0.4725,94.5,6,7.5
M,0.485,97,0.39,39,0.085,17,0.6435,128.7,8,9.5
M,0.485,97,0.37,37,0.13,26,0.526,105.2,6,7.5
F,0.495,99,0.38,38,0.12,24,0.573,114.6,7,8.5
M,0.505,101,0.385,38.5,0.105,21,0.5525,110.5,9,10.5
F,0.505,101,0.38,38,0.135,27,0.6855,137.1,9,10.5
I,0.515,103,0.395,39.5,0.125,25,0.556,111.2,8,9.5
M,0.515,103,0.425,42.5,0.145,29,0.9365,187.3,8,9.5
I,0.515,103,0.4,40,0.125,25,0.5625,112.5,7,8.5
M,0.52,104,0.4,40,0.125,25,0.559,111.8,8,9.5
M,0.525,105,0.4,40,0.14,28,0.7205,144.1,8,9.5
I,0.53,106,0.43,43,0.13,26,0.7045,140.9,9,10.5
M,0.53,106,0.4,40,0.125,25,0.7575,151.5,8,9.5
F,0.545,109,0.41,41,0.14,28,0.7405,148.1,9,10.5
F,0.55,110,0.43,43,0.14,28,0.84,168,8,9.5
M,0.55,110,0.425,42.5,0.16,32,0.793,158.6,9,10.5
F,0.56,112,0.43,43,0.15,30,0.8745,174.9,8,9.5
F,0.56,112,0.435,43.5,0.15,30,0.8715,174.3,9,10.5
M,0.57,114,0.445,44.5,0.15,30,0.9875,197.5,8,9.5
M,0.575,115,0.465,46.5,0.15,30,1.08,216,9,10.5
M,0.575,115,0.46,46,0.165,33,0.9155,183.1,8,9.5
F,0.58,116,0.46,46,0.175,35,1.165,233,9,10.5
F,0.58,116,0.435,43.5,0.14,28,0.953,190.6,9,10.5
M,0.585,117,0.455,45.5,0.15,30,0.906,181.2,8,9.5
M,0.59,118,0.44,44,0.15,30,0.8725,174.5,8,9.5
F,0.59,118,0.465,46.5,0.15,30,1.151,230.2,9,10.5
F,0.59,118,0.46,46,0.145,29,0.9905,198.1,8,9.5
F,0.595,119,0.455,45.5,0.16,32,1.04,208,9,10.5
M,0.6,120,0.455,45.5,0.155,31,0.945,189,8,9.5
M,0.6,120,0.465,46.5,0.2,40,1.259,251.8,9,10.5
F,0.605,121,0.485,48.5,0.165,33,0.9515,190.3,11,12.5
F,0.605,121,0.485,48.5,0.16,32,1.201,240.2,9,10.5
F,0.605,121,0.515,51.5,0.17,34,1.289,257.8,9,10.5
F,0.61,122,0.485,48.5,0.17,34,1.1005,220.1,11,12.5
I,0.615,123,0.475,47.5,0.13,26,0.8425,168.5,8,9.5
M,0.62,124,0.485,48.5,0.155,31,1.049,209.8,10,11.5
F,0.62,124,0.435,43.5,0.155,31,1.012,202.4,8,9.5
M,0.62,124,0.48,48,0.165,33,1.0725,214.5,9,10.5
M,0.625,125,0.52,52,0.175,35,1.4105,282.1,10,11.5
M,0.625,125,0.47,47,0.18,36,1.136,227.2,11,12.5
M,0.63,126,0.47,47,0.145,29,1.1005,220.1,9,10.5
F,0.63,126,0.5,50,0.175,35,1.1105,222.1,10,11.5
M,0.63,126,0.455,45.5,0.15,30,1.1315,226.3,9,10.5
M,0.63,126,0.48,48,0.15,30,1.271,254.2,11,12.5
F,0.63,126,0.49,49,0.225,45,1.336,267.2,10,11.5
F,0.635,127,0.505,50.5,0.145,29,1.1345,226.9,10,11.5
M,0.635,127,0.51,51,0.185,37,1.308,261.6,8,9.5
F,0.64,128,0.515,51.5,0.205,41,1.5335,306.7,9,10.5
F,0.645,129,0.515,51.5,0.175,35,1.546,309.2,10,11.5
M,0.645,129,0.51,51,0.155,31,1.539,307.8,11,12.5
F,0.645,129,0.505,50.5,0.165,33,1.318,263.6,11,12.5
F,0.65,130,0.545,54.5,0.175,35,1.5245,304.9,10,11.5
M,0.65,130,0.515,51.5,0.175,35,1.466,293.2,10,11.5
F,0.65,130,0.5,50,0.16,32,1.3825,276.5,9,10.5
M,0.65,130,0.485,48.5,0.14,28,1.175,235,8,9.5
F,0.655,131,0.54,54,0.215,43,1.5555,311.1,11,12.5
M,0.655,131,0.51,51,0.215,43,1.7835,356.7,11,12.5
M,0.66,132,0.505,50.5,0.165,33,1.374,274.8,10,11.5
F,0.665,133,0.515,51.5,0.18,36,1.389,277.8,10,11.5
M,0.67,134,0.545,54.5,0.2,40,1.7025,340.5,11,12.5
M,0.67,134,0.51,51,0.175,35,1.5265,305.3,10,11.5
M,0.67,134,0.5,50,0.19,38,1.519,303.8,10,11.5
F,0.68,136,0.5,50,0.185,37,1.741,348.2,12,13.5
M,0.68,136,0.515,51.5,0.17,34,1.6115,322.3,11,12.5
M,0.69,138,0.525,52.5,0.2,40,1.7825,356.5,12,13.5
F,0.7,140,0.55,55,0.17,34,1.684,336.8,11,12.5
M,0.7,140,0.555,55.5,0.2,40,1.858,371.6,11,12.5
M,0.705,141,0.56,56,0.165,33,1.675,335,10,11.5
M,0.72,144,0.565,56.5,0.2,40,2.1055,421.1,12,13.5
M,0.725,145,0.575,57.5,0.24,48,2.21,442,13,14.5
M,0.74,148,0.57,57,0.18,36,1.8725,374.5,10,11.5
M,0.75,150,0.55,55,0.18,36,1.893,378.6,11,12.5
I,0.21,42,0.17,17,0.045,9,0.0475,9.5,5,6.5
I,0.285,57,0.21,21,0.055,11,0.101,20.2,5,6.5
I,0.295,59,0.215,21.5,0.07,14,0.121,24.2,6,7.5
I,0.3,60,0.23,23,0.085,17,0.117,23.4,6,7.5
I,0.305,61,0.225,22.5,0.09,18,0.1465,29.3,6,7.5
I,0.335,67,0.255,25.5,0.08,16,0.168,33.6,5,6.5
I,0.35,70,0.26,26,0.075,15,0.18,36,5,6.5
I,0.355,71,0.27,27,0.075,15,0.1775,35.5,6,7.5
I,0.355,71,0.26,26,0.09,18,0.1985,39.7,7,8.5
I,0.36,72,0.27,27,0.095,19,0.2,40,8,9.5
I,0.36,72,0.275,27.5,0.075,15,0.2205,44.1,7,8.5
I,0.36,72,0.265,26.5,0.075,15,0.1845,36.9,7,8.5
I,0.365,73,0.27,27,0.085,17,0.2225,44.5,7,8.5
I,0.37,74,0.27,27,0.095,19,0.2175,43.5,6,7.5
I,0.375,75,0.28,28,0.08,16,0.2165,43.3,7,8.5
I,0.38,76,0.285,28.5,0.095,19,0.243,48.6,7,8.5
I,0.38,76,0.29,29,0.1,20,0.237,47.4,6,7.5
I,0.385,77,0.29,29,0.09,18,0.2365,47.3,8,9.5
I,0.385,77,0.28,28,0.095,19,0.257,51.4,7,8.5
I,0.385,77,0.3,30,0.09,18,0.308,61.6,8,9.5
I,0.39,78,0.3,30,0.09,18,0.252,50.4,7,8.5
I,0.39,78,0.285,28.5,0.1,20,0.281,56.2,7,8.5
I,0.39,78,0.29,29,0.1,20,0.2225,44.5,7,8.5
I,0.41,82,0.3,30,0.09,18,0.304,60.8,8,9.5
I,0.41,82,0.3,30,0.09,18,0.28,56,8,9.5
I,0.415,83,0.325,32.5,0.1,20,0.313,62.6,7,8.5
I,0.425,85,0.325,32.5,0.11,22,0.317,63.4,8,9.5
I,0.425,85,0.315,31.5,0.08,16,0.303,60.6,7,8.5
I,0.435,87,0.335,33.5,0.1,20,0.3295,65.9,7,8.5
I,0.435,87,0.325,32.5,0.11,22,0.367,73.4,6,7.5
I,0.45,90,0.34,34,0.095,19,0.3245,64.9,8,9.5
I,0.45,90,0.335,33.5,0.11,22,0.4195,83.9,7,8.5
I,0.455,91,0.36,36,0.115,23,0.457,91.4,10,11.5
I,0.46,92,0.35,35,0.11,22,0.4,80,7,8.5
I,0.46,92,0.355,35.5,0.11,22,0.4255,85.1,7,8.5
I,0.465,93,0.37,37,0.12,24,0.4365,87.3,9,10.5
I,0.465,93,0.345,34.5,0.11,22,0.393,78.6,8,9.5
I,0.47,94,0.355,35.5,0.125,25,0.499,99.8,8,9.5
I,0.475,95,0.36,36,0.145,29,0.6325,126.5,8,9.5
M,0.475,95,0.36,36,0.1,20,0.4285,85.7,7,8.5
I,0.475,95,0.36,36,0.125,25,0.4905,98.1,8,9.5
I,0.48,96,0.37,37,0.125,25,0.474,94.8,9,10.5
I,0.48,96,0.37,37,0.12,24,0.536,107.2,8,9.5
M,0.48,96,0.355,35.5,0.16,32,0.464,92.8,8,9.5
I,0.485,97,0.375,37.5,0.13,26,0.6025,120.5,7,8.5
I,0.49,98,0.375,37.5,0.115,23,0.4615,92.3,8,9.5
I,0.49,98,0.4,40,0.135,27,0.624,124.8,8,9.5
I,0.495,99,0.37,37,0.125,25,0.4715,94.3,8,9.5
I,0.495,99,0.4,40,0.105,21,0.602,120.4,8,9.5
I,0.5,100,0.4,40,0.12,24,0.616,123.2,8,9.5
I,0.5,100,0.39,39,0.12,24,0.5955,119.1,8,9.5
I,0.5,100,0.375,37.5,0.14,28,0.559,111.8,9,10.5
I,0.51,102,0.395,39.5,0.13,26,0.6025,120.5,7,8.5
F,0.515,103,0.375,37.5,0.11,22,0.6065,121.3,6,7.5
I,0.515,103,0.36,36,0.125,25,0.4725,94.5,9,10.5
I,0.515,103,0.35,35,0.105,21,0.4745,94.9,10,11.5
I,0.515,103,0.395,39.5,0.125,25,0.6635,132.7,8,9.5
I,0.515,103,0.39,39,0.125,25,0.5705,114.1,8,9.5
I,0.52,104,0.41,41,0.145,29,0.646,129.2,9,10.5
I,0.52,104,0.39,39,0.13,26,0.5545,110.9,7,8.5
M,0.525,105,0.415,41.5,0.145,29,0.845,169,8,9.5
I,0.525,105,0.39,39,0.12,24,0.664,132.8,9,10.5
I,0.525,105,0.38,38,0.135,27,0.615,123,8,9.5
I,0.525,105,0.4,40,0.14,28,0.654,130.8,7,8.5
M,0.525,105,0.4,40,0.155,31,0.707,141.4,9,10.5
I,0.53,106,0.42,42,0.12,24,0.5965,119.3,7,8.5
I,0.53,106,0.43,43,0.135,27,0.6255,125.1,10,11.5
I,0.53,106,0.4,40,0.145,29,0.555,111,9,10.5
I,0.53,106,0.42,42,0.13,26,0.8365,167.3,11,12.5
I,0.535,107,0.4,40,0.13,26,0.657,131.4,7,8.5
I,0.54,108,0.43,43,0.17,34,0.836,167.2,9,10.5
I,0.54,108,0.425,42.5,0.14,28,0.742,148.4,9,10.5
I,0.54,108,0.43,43,0.14,28,0.8195,163.9,9,10.5
M,0.54,108,0.455,45.5,0.14,28,0.972,194.4,10,11.5
I,0.54,108,0.42,42,0.14,28,0.6275,125.5,9,10.5
I,0.54,108,0.425,42.5,0.13,26,0.7205,144.1,10,11.5
I,0.54,108,0.425,42.5,0.135,27,0.686,137.2,8,9.5
I,0.545,109,0.4,40,0.13,26,0.686,137.2,9,10.5
I,0.545,109,0.375,37.5,0.12,24,0.543,108.6,8,9.5
I,0.545,109,0.42,42,0.125,25,0.717,143.4,8,9.5
M,0.55,110,0.435,43.5,0.14,28,0.7625,152.5,10,11.5
I,0.55,110,0.425,42.5,0.15,30,0.639,127.8,9,10.5
I,0.55,110,0.42,42,0.135,27,0.816,163.2,12,13.5
I,0.55,110,0.415,41.5,0.145,29,0.7815,156.3,8,9.5
I,0.55,110,0.425,42.5,0.15,30,0.7665,153.3,8,9.5
I,0.555,111,0.395,39.5,0.13,26,0.5585,111.7,9,10.5
I,0.555,111,0.435,43.5,0.14,28,0.765,153,8,9.5
I,0.555,111,0.46,46,0.145,29,0.9005,180.1,11,12.5
I,0.56,112,0.445,44.5,0.15,30,0.8225,164.5,10,11.5
I,0.56,112,0.44,44,0.13,26,0.7235,144.7,8,9.5
M,0.56,112,0.425,42.5,0.135,27,0.849,169.8,10,11.5
I,0.565,113,0.42,42,0.155,31,0.743,148.6,9,10.5
F,0.565,113,0.44,44,0.15,30,0.863,172.6,9,10.5
M,0.565,113,0.44,44,0.125,25,0.802,160.4,9,10.5
M,0.565,113,0.43,43,0.15,30,0.831,166.2,10,11.5
F,0.57,114,0.45,45,0.135,27,0.7805,156.1,8,9.5
M,0.57,114,0.45,45,0.14,28,0.795,159,9,10.5
I,0.57,114,0.435,43.5,0.17,34,0.848,169.6,9,10.5
I,0.57,114,0.43,43,0.145,29,0.833,166.6,10,11.5
I,0.57,114,0.445,44.5,0.155,31,0.867,173.4,9,10.5
I,0.57,114,0.445,44.5,0.145,29,0.7405,148.1,12,13.5
M,0.575,115,0.455,45.5,0.165,33,0.867,173.4,8,9.5
I,0.575,115,0.425,42.5,0.135,27,0.7965,159.3,10,11.5
F,0.575,115,0.47,47,0.155,31,1.116,223.2,10,11.5
I,0.575,115,0.45,45,0.125,25,0.78,156,9,10.5
M,0.575,115,0.47,47,0.185,37,0.985,197,10,11.5
F,0.575,115,0.465,46.5,0.195,39,0.9965,199.3,8,9.5
I,0.575,115,0.445,44.5,0.17,34,0.8015,160.3,9,10.5
I,0.575,115,0.45,45,0.135,27,0.807,161.4,10,11.5
F,0.575,115,0.435,43.5,0.15,30,1.0305,206.1,8,9.5
M,0.575,115,0.445,44.5,0.16,32,0.839,167.8,9,10.5
M,0.575,115,0.44,44,0.16,32,0.9615,192.3,13,14.5
F,0.58,116,0.435,43.5,0.15,30,0.834,166.8,8,9.5
M,0.58,116,0.46,46,0.155,31,1.0335,206.7,10,11.5
M,0.58,116,0.43,43,0.13,26,0.798,159.6,10,11.5
I,0.58,116,0.445,44.5,0.125,25,0.7095,141.9,9,10.5
F,0.585,117,0.445,44.5,0.14,28,0.913,182.6,10,11.5
M,0.59,118,0.49,49,0.165,33,1.207,241.4,10,11.5
I,0.59,118,0.45,45,0.145,29,1.022,204.4,10,11.5
I,0.59,118,0.46,46,0.145,29,0.9015,180.3,11,12.5
F,0.595,119,0.435,43.5,0.15,30,0.9,180,8,9.5
M,0.595,119,0.45,45,0.14,28,0.838,167.6,10,11.5
M,0.595,119,0.45,45,0.145,29,0.959,191.8,10,11.5
I,0.595,119,0.46,46,0.15,30,0.8335,166.7,8,9.5
F,0.6,120,0.46,46,0.155,31,0.9735,194.7,8,9.5
F,0.6,120,0.475,47.5,0.15,30,1.13,226,9,10.5
M,0.6,120,0.48,48,0.165,33,0.9165,183.3,9,10.5
I,0.6,120,0.48,48,0.17,34,0.9175,183.5,8,9.5
F,0.6,120,0.48,48,0.18,36,1.0645,212.9,10,11.5
M,0.6,120,0.47,47,0.165,33,1.059,211.8,9,10.5
M,0.6,120,0.47,47,0.16,32,1.194,238.8,10,11.5
F,0.605,121,0.455,45.5,0.145,29,0.9775,195.5,9,10.5
M,0.605,121,0.475,47.5,0.145,29,0.884,176.8,8,9.5
I,0.605,121,0.47,47,0.145,29,0.8025,160.5,9,10.5
F,0.605,121,0.48,48,0.14,28,0.991,198.2,8,9.5
F,0.605,121,0.47,47,0.155,31,0.974,194.8,9,10.5
F,0.605,121,0.505,50.5,0.18,36,1.434,286.8,11,12.5
M,0.61,122,0.475,47.5,0.155,31,0.983,196.6,10,11.5
F,0.61,122,0.465,46.5,0.16,32,1.0725,214.5,10,11.5
F,0.61,122,0.485,48.5,0.15,30,1.2405,248.1,12,13.5
M,0.61,122,0.47,47,0.16,32,1.022,204.4,9,10.5
F,0.61,122,0.475,47.5,0.16,32,1.1155,223.1,10,11.5
I,0.61,122,0.465,46.5,0.125,25,0.9225,184.5,9,10.5
M,0.61,122,0.47,47,0.17,34,1.1185,223.7,9,10.5
F,0.61,122,0.485,48.5,0.18,36,1.2795,255.9,7,8.5
M,0.615,123,0.47,47,0.16,32,1.0175,203.5,10,11.5
M,0.615,123,0.475,47.5,0.175,35,1.224,244.8,9,10.5
I,0.62,124,0.485,48.5,0.18,36,1.154,230.8,12,13.5
F,0.62,124,0.515,51.5,0.155,31,1.3255,265.1,12,13.5
M,0.62,124,0.515,51.5,0.175,35,1.221,244.2,13,14.5
F,0.62,124,0.54,54,0.165,33,1.139,227.8,11,12.5
I,0.62,124,0.49,49,0.16,32,1.066,213.2,11,12.5
F,0.62,124,0.48,48,0.18,36,1.2215,244.3,12,13.5
I,0.62,124,0.47,47,0.14,28,0.8565,171.3,9,10.5
I,0.62,124,0.45,45,0.135,27,0.924,184.8,10,11.5
M,0.62,124,0.48,48,0.15,30,1.266,253.2,12,13.5
F,0.62,124,0.48,48,0.175,35,1.0405,208.1,9,10.5
M,0.625,125,0.49,49,0.165,33,1.1165,223.3,11,12.5
M,0.625,125,0.475,47.5,0.16,32,1.0845,216.9,10,11.5
M,0.625,125,0.5,50,0.17,34,1.0985,219.7,9,10.5
I,0.625,125,0.47,47,0.155,31,1.1955,239.1,12,13.5
F,0.625,125,0.485,48.5,0.175,35,1.362,272.4,10,11.5
I,0.625,125,0.485,48.5,0.15,30,1.044,208.8,9,10.5
M,0.63,126,0.505,50.5,0.17,34,1.0915,218.3,9,10.5
F,0.63,126,0.5,50,0.18,36,1.1965,239.3,8,9.5
M,0.63,126,0.49,49,0.17,34,1.1745,234.9,11,12.5
M,0.63,126,0.485,48.5,0.165,33,1.233,246.6,10,11.5
M,0.63,126,0.495,49.5,0.175,35,1.2695,253.9,11,12.5
I,0.635,127,0.5,50,0.165,33,1.489,297.8,13,14.5
M,0.635,127,0.5,50,0.17,34,1.4345,286.9,12,13.5
F,0.635,127,0.49,49,0.175,35,1.2435,248.7,10,11.5
F,0.635,127,0.49,49,0.17,34,1.2615,252.3,9,10.5
F,0.64,128,0.505,50.5,0.165,33,1.2235,244.7,10,11.5
M,0.64,128,0.515,51.5,0.18,36,1.247,249.4,10,11.5
M,0.64,128,0.525,52.5,0.185,37,1.707,341.4,11,12.5
M,0.645,129,0.505,50.5,0.15,30,1.1605,232.1,10,11.5
M,0.645,129,0.5,50,0.175,35,1.286,257.2,12,13.5
M,0.645,129,0.5,50,0.19,38,1.5595,311.9,14,15.5
M,0.645,129,0.51,51,0.19,38,1.4745,294.9,9,10.5
M,0.645,129,0.51,51,0.195,39,1.226,245.2,10,11.5
M,0.645,129,0.51,51,0.16,32,1.33,266,9,10.5
F,0.645,129,0.51,51,0.16,32,1.2415,248.3,9,10.5
M,0.645,129,0.5,50,0.175,35,1.3375,267.5,10,11.5
F,0.645,129,0.51,51,0.19,38,1.363,272.6,10,11.5
M,0.645,129,0.485,48.5,0.15,30,1.2215,244.3,9,10.5
F,0.645,129,0.48,48,0.19,38,1.371,274.2,12,13.5
F,0.65,130,0.495,49.5,0.155,31,1.337,267.4,9,10.5
M,0.65,130,0.505,50.5,0.19,38,1.274,254.8,11,12.5
M,0.65,130,0.525,52.5,0.185,37,1.488,297.6,11,12.5
M,0.65,130,0.51,51,0.16,32,1.3835,276.7,9,10.5
M,0.655,131,0.55,55,0.18,36,1.274,254.8,10,11.5
F,0.655,131,0.51,51,0.15,30,1.043,208.6,9,10.5
F,0.655,131,0.505,50.5,0.19,38,1.3485,269.7,12,13.5
F,0.655,131,0.505,50.5,0.195,39,1.4405,288.1,11,12.5
M,0.66,132,0.5,50,0.165,33,1.3195,263.9,9,10.5
F,0.66,132,0.535,53.5,0.175,35,1.5175,303.5,12,13.5
M,0.66,132,0.53,53,0.195,39,1.5505,310.1,10,11.5
M,0.66,132,0.51,51,0.165,33,1.6375,327.5,14,15.5
M,0.665,133,0.525,52.5,0.175,35,1.443,288.6,11,12.5
M,0.665,133,0.505,50.5,0.16,32,1.289,257.8,11,12.5
F,0.665,133,0.505,50.5,0.16,32,1.2915,258.3,11,12.5
M,0.665,133,0.52,52,0.175,35,1.3725,274.5,12,13.5
M,0.665,133,0.5,50,0.175,35,1.2975,259.5,9,10.5
M,0.67,134,0.505,50.5,0.16,32,1.2585,251.7,12,13.5
M,0.67,134,0.52,52,0.165,33,1.39,278,11,12.5
F,0.67,134,0.52,52,0.19,38,1.32,264,13,14.5
F,0.67,134,0.55,55,0.155,31,1.566,313.2,10,11.5
F,0.67,134,0.54,54,0.195,39,1.619,323.8,11,12.5
M,0.675,135,0.525,52.5,0.16,32,1.2835,256.7,13,14.5
F,0.675,135,0.51,51,0.195,39,1.382,276.4,10,11.5
M,0.68,136,0.52,52,0.195,39,1.4535,290.7,10,11.5
F,0.68,136,0.51,51,0.2,40,1.6075,321.5,11,12.5
M,0.685,137,0.52,52,0.15,30,1.3735,274.7,11,12.5
F,0.685,137,0.565,56.5,0.175,35,1.638,327.6,11,12.5
F,0.69,138,0.55,55,0.2,40,1.569,313.8,12,13.5
M,0.7,140,0.565,56.5,0.175,35,1.8565,371.3,10,11.5
F,0.7,140,0.535,53.5,0.175,35,1.773,354.6,15,16.5
F,0.705,141,0.545,54.5,0.17,34,1.58,316,11,12.5
M,0.71,142,0.575,57.5,0.215,43,2.009,401.8,11,12.5
F,0.71,142,0.57,57,0.195,39,1.9805,396.1,12,13.5
F,0.71,142,0.54,54,0.205,41,1.5805,316.1,10,11.5
M,0.71,142,0.56,56,0.22,44,2.015,403,11,12.5
M,0.72,144,0.57,57,0.2,40,1.8275,365.5,10,11.5
M,0.72,144,0.55,55,0.205,41,2.125,425,13,14.5
F,0.72,144,0.525,52.5,0.18,36,1.445,289,7,8.5
F,0.725,145,0.565,56.5,0.21,42,2.1425,428.5,14,15.5
F,0.73,146,0.56,56,0.19,38,1.9425,388.5,11,12.5
M,0.735,147,0.59,59,0.215,43,1.747,349.4,11,12.5
F,0.74,148,0.565,56.5,0.205,41,2.119,423.8,12,13.5
F,0.75,150,0.565,56.5,0.215,43,1.938,387.6,11,12.5
M,0.75,150,0.595,59.5,0.205,41,2.2205,444.1,12,13.5
M,0.77,154,0.62,62,0.195,39,2.5155,503.1,12,13.5
M,0.775,155,0.63,63,0.25,50,2.7795,555.9,12,13.5
I,0.275,55,0.175,17.5,0.09,18,0.2315,46.3,5,6.5
I,0.375,75,0.245,24.5,0.1,20,0.394,78.8,6,7.5
F,0.375,75,0.27,27,0.135,27,0.597,119.4,7,8.5
M,0.39,78,0.28,28,0.125,25,0.564,112.8,7,8.5
I,0.435,87,0.3,30,0.12,24,0.5965,119.3,8,9.5
M,0.445,89,0.32,32,0.12,24,0.414,82.8,7,8.5
I,0.455,91,0.335,33.5,0.105,21,0.422,84.4,6,7.5
I,0.455,91,0.325,32.5,0.135,27,0.82,164,8,9.5
I,0.455,91,0.345,34.5,0.11,22,0.434,86.8,8,9.5
I,0.465,93,0.325,32.5,0.14,28,0.7615,152.3,10,11.5
M,0.465,93,0.36,36,0.115,23,0.5795,115.9,7,8.5
